 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1
 3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1  1  3  1
 4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1  2  1  4  1
 5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1
 6  1  2  3  2  1  6  1  2  3  2  1  6  1  2  3  2  1  6  1  2  3  2  1  6  1  2  3  2  1  6  1  2  3  2  1  6  1  2  3  2  1  6  1  2  3  2  1  6  1
 7  1  1  1  1  1  1  7  1  1  1  1  1  1  7  1  1  1  1  1  1  7  1  1  1  1  1  1  7  1  1  1  1  1  1  7  1  1  1  1  1  1  7  1  1  1  1  1  1  7
 8  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1  8  1
 9  1  1  3  1  1  3  1  1  9  1  1  3  1  1  3  1  1  9  1  1  3  1  1  3  1  1  9  1  1  3  1  1  3  1  1  9  1  1  3  1  1  3  1  1  9  1  1  3  1
10  1  2  1  2  5  2  1  2  1 10  1  2  1  2  5  2  1  2  1 10  1  2  1  2  5  2  1  2  1 10  1  2  1  2  5  2  1  2  1 10  1  2  1  2  5  2  1  2  1
11  1  1  1  1  1  1  1  1  1  1 11  1  1  1  1  1  1  1  1  1  1 11  1  1  1  1  1  1  1  1  1  1 11  1  1  1  1  1  1  1  1  1  1 11  1  1  1  1  1
12  1  2  3  4  1  6  1  4  3  2  1 12  1  2  3  4  1  6  1  4  3  2  1 12  1  2  3  4  1  6  1  4  3  2  1 12  1  2  3  4  1  6  1  4  3  2  1 12  1
13  1  1  1  1  1  1  1  1  1  1  1  1 13  1  1  1  1  1  1  1  1  1  1  1  1 13  1  1  1  1  1  1  1  1  1  1  1  1 13  1  1  1  1  1  1  1  1  1  1
14  1  2  1  2  1  2  7  2  1  2  1  2  1 14  1  2  1  2  1  2  7  2  1  2  1  2  1 14  1  2  1  2  1  2  7  2  1  2  1  2  1 14  1  2  1  2  1  2  7
15  1  1  3  1  5  3  1  1  3  5  1  3  1  1 15  1  1  3  1  5  3  1  1  3  5  1  3  1  1 15  1  1  3  1  5  3  1  1  3  5  1  3  1  1 15  1  1  3  1
16  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1 16  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1 16  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1 16  1
17  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 17  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 17  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
18  1  2  3  2  1  6  1  2  9  2  1  6  1  2  3  2  1 18  1  2  3  2  1  6  1  2  9  2  1  6  1  2  3  2  1 18  1  2  3  2  1  6  1  2  9  2  1  6  1
19  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 19  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 19  1  1  1  1  1  1  1  1  1  1  1
20  1  2  1  4  5  2  1  4  1 10  1  4  1  2  5  4  1  2  1 20  1  2  1  4  5  2  1  4  1 10  1  4  1  2  5  4  1  2  1 20  1  2  1  4  5  2  1  4  1
21  1  1  3  1  1  3  7  1  3  1  1  3  1  7  3  1  1  3  1  1 21  1  1  3  1  1  3  7  1  3  1  1  3  1  7  3  1  1  3  1  1 21  1  1  3  1  1  3  7
22  1  2  1  2  1  2  1  2  1  2 11  2  1  2  1  2  1  2  1  2  1 22  1  2  1  2  1  2  1  2  1  2 11  2  1  2  1  2  1  2  1  2  1 22  1  2  1  2  1
23  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 23  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 23  1  1  1
24  1  2  3  4  1  6  1  8  3  2  1 12  1  2  3  8  1  6  1  4  3  2  1 24  1  2  3  4  1  6  1  8  3  2  1 12  1  2  3  8  1  6  1  4  3  2  1 24  1
25  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1 25  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1  5  1  1  1  1
26  1  2  1  2  1  2  1  2  1  2  1  2 13  2  1  2  1  2  1  2  1  2  1  2  1 26  1  2  1  2  1  2  1  2  1  2  1  2 13  2  1  2  1  2  1  2  1  2  1
27  1  1  3  1  1  3  1  1  9  1  1  3  1  1  3  1  1  9  1  1  3  1  1  3  1  1 27  1  1  3  1  1  3  1  1  9  1  1  3  1  1  3  1  1  9  1  1  3  1
28  1  2  1  4  1  2  7  4  1  2  1  4  1 14  1  4  1  2  1  4  7  2  1  4  1  2  1 28  1  2  1  4  1  2  7  4  1  2  1  4  1 14  1  4  1  2  1  4  7
29  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 29  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
30  1  2  3  2  5  6  1  2  3 10  1  6  1  2 15  2  1  6  1 10  3  2  1  6  5  2  3  2  1 30  1  2  3  2  5  6  1  2  3 10  1  6  1  2 15  2  1  6  1
31  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 31  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
32  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1 16  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1 32  1  2  1  4  1  2  1  8  1  2  1  4  1  2  1 16  1
33  1  1  3  1  1  3  1  1  3  1 11  3  1  1  3  1  1  3  1  1  3 11  1  3  1  1  3  1  1  3  1  1 33  1  1  3  1  1  3  1  1  3  1 11  3  1  1  3  1
34  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2 17  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1 34  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1
35  1  1  1  1  5  1  7  1  1  5  1  1  1  7  5  1  1  1  1  5  7  1  1  1  5  1  1  7  1  5  1  1  1  1 35  1  1  1  1  5  1  7  1  1  5  1  1  1  7
36  1  2  3  4  1  6  1  4  9  2  1 12  1  2  3  4  1 18  1  4  3  2  1 12  1  2  9  4  1  6  1  4  3  2  1 36  1  2  3  4  1  6  1  4  9  2  1 12  1
37  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 37  1  1  1  1  1  1  1  1  1  1  1  1
38  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2 19  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1  2  1 38  1  2  1  2  1  2  1  2  1  2  1
39  1  1  3  1  1  3  1  1  3  1  1  3 13  1  3  1  1  3  1  1  3  1  1  3  1 13  3  1  1  3  1  1  3  1  1  3  1  1 39  1  1  3  1  1  3  1  1  3  1
40  1  2  1  4  5  2  1  8  1 10  1  4  1  2  5  8  1  2  1 20  1  2  1  8  5  2  1  4  1 10  1  8  1  2  5  4  1  2  1 40  1  2  1  4  5  2  1  8  1
41  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 41  1  1  1  1  1  1  1  1
42  1  2  3  2  1  6  7  2  3  2  1  6  1 14  3  2  1  6  1  2 21  2  1  6  1  2  3 14  1  6  1  2  3  2  7  6  1  2  3  2  1 42  1  2  3  2  1  6  7
43  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 43  1  1  1  1  1  1
44  1  2  1  4  1  2  1  4  1  2 11  4  1  2  1  4  1  2  1  4  1 22  1  4  1  2  1  4  1  2  1  4 11  2  1  4  1  2  1  4  1  2  1 44  1  2  1  4  1
